,triples_raw,triples,popularity,context,verbalization,errors,correction
0,"('Q100366552', 'P31', 'Q1057954')","(1951 Neutral Bay state by-election, instance of, by-election, start=None, end=None)",0.693147180559945,present,1951 Neutral Bay state by-election is a by-election,sub_deter,The 1951 Neutral Bay state by-election is a by-election
1,"('Q1005294', 'P276', 'Q2383278')","(wrestling at the 2008 Summer Olympics – men's Greco-Roman 96 kg, location, China Agricultural University Gymnasium, start=None, end=None)",4.53796143629464,past,"On 1 January 2020, wrestling at the 2008 Summer Olympics – men's Greco-Roman 96 kg took place in China Agricultural University Gymnasium",sub_unclear,"On 1 January 2020, wrestling at the 2008 Summer Olympics – men's Greco-Roman 96 kg took place in China Agricultural University Gymnasium"
2,"('Q100598217', 'P828', 'Q2088729')","(El Dorado Fire, has cause, pyrotechnical machine, start=None, end=None)",8.69399956752208,present,pyrotechnical machine is responsible for El Dorado Fire,obj_deter,A pyrotechnical machine is responsible for El Dorado Fire
3,"('Q100605045', 'P31', 'Q15416')","(Mr. Queen, instance of, television program, start=None, end=None)",12.5925010329608,past,"On 1 January 2020, Mr. Queen belonged to the class of television programs",-,
4,"('Q100709273', 'P161', 'Q16200324')","(Scam 1992: The Harshad Metha story, cast members, Nikhil Dwivedi, start=None, end=None)",13.7665608310654,present,Nikhil Dwivedi is part of the cast of Scam 1992: The Harshad Metha story,sub_unclear,Nikhil Dwivedi is part of the cast of “Scam 1992: The Harshad Metha story”
5,"('Q101231200', 'P31', 'Q180684')","(Tigray conflict, instance of, conflict, start=None, end=None)",12.3581604848785,past,"On 1 January 2020, Tigray conflict was an example of a conflict",sub_deter,"On 1 January 2020, the Tigray conflict was an example of a conflict"
6,"('Q102364947', 'P31', 'Q482994')","(Copycat Killer, instance of, album, start=None, end=None)",8.42890827654867,present,Copycat Killer is an example of an album,-,
7,"('Q102439127', 'P17', 'Q668')","(2020 Indian farmers' protest, country, India, start=None, end=None)",12.4683080555424,past,"On 1 January 2020, 2020 Indian farmers' protest was located in India",sub_deter,"On 1 January 2020, the 2020 Indian farmers' protest was located in India"
8,"('Q1027664', 'P105', 'Q7432')","(Yaguarasaurus, taxon rank, species, start=None, end=None)",4.90156419904189,present,Yaguarasaurus belongs to the species category,-,
9,"('Q1029', 'P463', 'Q7809')","(Mozambique, member of, UNESCO, start=1976-10-11, end=None)",11.3752483478359,past,"On 1 January 2020, Mozambique was affiliated with UNESCO",-,
10,"('Q1031639', 'P279', 'Q768186')","(roller skate, subclass of, sports equipment, start=None, end=None)",8.39298958795693,present,roller skate is a subset of sports equipment,-,
